Наименование продукции;Артикул;Минимальная стоимость для агента;Изображение;Тип продукции;Количество человек для производства;Номер цеха для производства
Колесо R18 Кованый;241659;11509 рублей;\products\tire_15.jpg;Колесо;4;Цех № 10
Запаска R15 Кованый;327657;8667;\products\tire_64.jpg;Запаска;2;8
Шина R21 Лето;266521;10561;\products\tire_6.jpg;Шина;4;№1
Шина R21 Кованый;329576;7989.00;\products\tire_59.jpg;Шина;2;Цех № 2
Диск R17 Лето;400508;12941 рублей;\products\tire_24.jpg;Диск;1;4
Шина R14 Липучка;331598;13879 рублей;\products\tire_17.jpg;Шина;4;Цех № 1
Диск R16 Кованый;440075;9068 рублей;\products\tire_25.jpg;Диск;3;9
Запаска R14 Лето;448396;12878.00;\products\tire_32.jpg;Запаска;1;5
Диск R22 Липучка;418286;10670.00 ₽;\products\tire_4.jpg;Диск;4;2
Запаска R15 Лето;348910;4969.00;\products\tire_50.jpg;Запаска;1;Цех № 9
Шина R15 Липучка;349418;6393 рублей;\products\tire_48.jpg;Шина;1;№4
Колесо R15 Кованый;376388;9439;не указано;Колесо;3;№4
Колесо R20 Кованый;445217;9569 руб.;\products\tire_1.jpg;Колесо;3;10
Диск R19 Лето;243152;6264 руб.;\products\tire_0.jpg;Диск;1;9
Колесо R18 Лето;412238;13892.00;\products\tire_14.jpg;Колесо;2;№7
Диск R20 Зима;252453;14526.00 ₽;нет;Диск;4;Цех № 9
Диск R17 Зима;343841;12768.00;нет;Диск;3;9
Запаска R21 Липучка;247470;10139.00;\products\tire_62.jpg;Запаска;1;2
Запаска R20 Липучка;335226;9988 руб.;не указано;Запаска;1;№2
Шина R17 Кованый;299692;11463;\products\tire_58.jpg;Шина;3;Цех № 10
Диск R20 Липучка;447543;11661.00;\products\tire_3.jpg;Диск;4;№8
Запаска R20 Кованый;249737;7509 рублей;не указано;Запаска;5;№5
Колесо R14 Кованый;429265;11838 руб.;отсутствует;Колесо;3;Цех № 6
Диск R21 Кованый;299085;4757.00 ₽;\products\tire_61.jpg;Диск;3;Цех № 3
Шина R20 Кованый;330937;10928 руб.;\products\tire_45.jpg;Шина;3;Цех № 1
Диск R16 Липучка;435703;9934;нет;Диск;5;2
Запаска R18 Лето;305509;5192.00;\products\tire_41.jpg;Запаска;1;Цех № 3
Запаска R19 Кованый;390434;14258 рублей;\products\tire_46.jpg;Запаска;5;Цех № 8
Диск R18 Лето;317858;8435 руб.;\products\tire_52.jpg;Диск;5;Цех № 3
Запаска R14 Кованый;412235;12891.00 ₽;\products\tire_47.jpg;Запаска;4;Цех № 6
Запаска R22 Липучка;328305;10116.00;\products\tire_13.jpg;Запаска;2;1
Колесо R21 Липучка;403378;3626.00 ₽;\products\tire_55.jpg;Колесо;3;№10
Шина R18 Лето;425463;11625;нет;Шина;4;Цех № 10
Запаска R17 Липучка;327883;12332;\products\tire_10.jpg;Запаска;2;2
Диск R22 Кованый;388520;7498 рублей;\products\tire_19.jpg;Диск;3;2
Шина R18 Липучка;319450;4951 руб.;не указано;Шина;3;6
Шина R16 Кованый;421321;14691.00 ₽;отсутствует;Шина;1;№2
Диск R17 Липучка;282569;12356 руб.;\products\tire_42.jpg;Диск;5;5
Запаска R23 Зима;394768;13019.00 ₽;\products\tire_8.jpg;Запаска;1;9
Диск R21 Зима;250714;8762 рублей;\products\tire_11.jpg;Диск;5;№5
Диск R16 Лето;251201;8149;не указано;Диск;3;10
Шина R14 Кованый;274477;9527 рублей;\products\tire_34.jpg;Шина;5;Цех № 5
Диск R19 Зима;358851;5695.00;\products\tire_16.jpg;Диск;5;6
Диск R21 Лето;449834;2698.00;\products\tire_35.jpg;Диск;4;№8
Запаска R19 Липучка;438383;12000.00 ₽;нет;Запаска;3;1
Колесо R19 Лето;298778;7493 рублей;\products\tire_38.jpg;Колесо;1;10
Колесо R16 Лето;337577;10161.00;\products\tire_2.jpg;Колесо;1;№9
Запаска R21 Зима;365509;14556;нет;Запаска;5;6
Шина R20 Липучка;348553;3508;нет;Шина;2;2
Диск R20 Лето;300047;10323 рублей;\products\tire_56.jpg;Диск;3;№10
Запаска R18 Липучка;279256;9759 рублей;\products\tire_53.jpg;Запаска;4;5
Шина R22 Лето;406784;14692 руб.;\products\tire_37.jpg;Шина;3;Цех № 5
Колесо R21 Лето;276905;10343.00 ₽;нет;Колесо;1;Цех № 2
Диск R19 Липучка;318661;5544;нет;Диск;1;6
Запаска R14 Зима;440993;6020 руб.;нет;Запаска;5;№2
Запаска R22 Кованый;341800;5447.00 ₽;не указано;Запаска;2;Цех № 4
Диск R22 Зима;453650;11459;\products\tire_22.jpg;Диск;5;Цех № 3
Запаска R17 Кованый;372287;5808 рублей;\products\tire_57.jpg;Запаска;5;№3
Диск R15 Лето;347427;5071.00;нет;Диск;1;№1
Шина R15 Кованый;274665;13101 руб.;\products\tire_63.jpg;Шина;2;Цех № 10
Запаска R19 Лето;283112;3362 руб.;\products\tire_33.jpg;Запаска;3;№4
Колесо R20 Липучка;363664;12681.00 ₽;не указано;Колесо;1;№8
Шина R19 Зима;444141;2741;отсутствует;Шина;2;Цех № 8
Шина R22 Кованый;416324;13841.00 ₽;\products\tire_30.jpg;Шина;2;№8
Колесо R18 Зима;387609;3445 рублей;\products\tire_9.jpg;Колесо;1;№4
Запаска R16 Кованый;432234;13556.00 ₽;нет;Запаска;3;7
Колесо R17 Зима;381949;5902.00;отсутствует;Колесо;4;№6
Запаска R16 Зима;394413;12679 рублей;\products\tire_49.jpg;Запаска;3;№10
Колесо R20 Лето;434626;11959;\products\tire_31.jpg;Колесо;5;8
Шина R17 Липучка;280863;11695 руб.;нет;Шина;4;8
Шина R18 Зима;444280;13168 руб.;\products\tire_44.jpg;Шина;4;№6
Запаска R17 Лето;331576;4803.00 ₽;\products\tire_39.jpg;Запаска;3;№8
Запаска R22 Зима;268886;13471 руб.;отсутствует;Запаска;3;Цех № 2
Колесо R20 Зима;427198;2397;нет;Колесо;4;№10
Шина R17 Лето;354738;11329.00 ₽;\products\tire_20.jpg;Шина;2;Цех № 10
Шина R14 Лето;330951;6786.00;\products\tire_29.jpg;Шина;4;№7
Запаска R20 Зима;241577;9125.00 ₽;\products\tire_51.jpg;Запаска;2;№6
Колесо R17 Липучка;281537;4365 руб.;не указано;Колесо;1;№2
Шина R16 Зима;300433;2570 рублей;отсутствует;Шина;4;№2
Запаска R19 Зима;254860;5568.00 ₽;отсутствует;Запаска;2;№5
Диск R22 Лето;406411;2904.00 ₽;\products\tire_23.jpg;Диск;2;Цех № 4
Колесо R19 Липучка;440973;8439 руб.;\products\tire_5.jpg;Колесо;4;Цех № 4
Шина R21 Липучка;308647;12830 рублей;\products\tire_26.jpg;Шина;4;Цех № 6
Шина R17 Зима;291319;6426.00;\products\tire_54.jpg;Шина;2;4
Диск R18 Зима;255211;13239;\products\tire_21.jpg;Диск;1;6
Шина R18 Кованый;275809;3258 руб.;\products\tire_40.jpg;Шина;4;10
Колесо R17 Лето;332936;11145.00;\products\tire_28.jpg;Колесо;2;Цех № 1
Шина R22 Зима;382661;10373 рублей;не указано;Шина;1;№2
Шина R19 Лето;335030;4870 руб.;не указано;Шина;4;Цех № 10
Шина R19 Кованый;291359;14682.00;\products\tire_27.jpg;Шина;5;Цех № 10
Колесо R18 Липучка;332858;14804 рублей;\products\tire_12.jpg;Колесо;3;№7
Запаска R15 Липучка;237228;5510.00 ₽;\products\tire_18.jpg;Запаска;3;8
Шина R15 Зима;312952;4039;отсутствует;Шина;2;5
Шина R19 Липучка;341034;13063.00;\products\tire_36.jpg;Шина;1;5
Запаска R15 Зима;251241;3874 руб.;отсутствует;Запаска;3;Цех № 10
Шина R16 Лето;437927;7181 руб.;отсутствует;Шина;3;6
Колесо R16 Липучка;263261;14521;нет;Колесо;4;Цех № 1
Запаска R21 Лето;299112;3694.00 ₽;\products\tire_43.jpg;Запаска;2;Цех № 8
Шина R21 Зима;398710;9378.00;\products\tire_7.jpg;Шина;2;№2
Шина R16 Липучка;320970;2264.00;\products\tire_60.jpg;Шина;1;2
